generation	transect	bl	bh	b	N	nsig	p
109	2	-0.914712392	0.959835145	-0.028354101	100	6	0.06
109	3	-0.726866816	1.300050448	0.011813966	100	4	0.04
109	4	-1.087847471	0.936976442	-0.059280775	100	7	0.07
110	1	-0.846759309	1.165578748	0.085298794	100	10	0.1
110	2	-0.7624107	0.82650142	-0.075200697	100	2	0.02
110	3	-0.849767267	1.108242938	0.052986781	100	7	0.07
110	4	-0.841266568	1.432347662	-0.005986217	100	6	0.06
111	1	-0.869766476	0.89443953	0.03279541	100	4	0.04
111	2	-1.039850655	0.958733635	-0.108363853	100	7	0.07
111	3	-0.719397664	0.923848721	-0.055058687	100	5	0.05
