generation	transect	b	p_beta	lrt_p_value
70	4	0.022707413	0.738278006	0.738288394
71	1	-2.08E-04	0.997503392	0.997503324
71	2	0.02640732	0.710584048	0.710596661
71	3	0.002763392	0.967941452	0.967941401
71	4	-0.022241055	0.752330246	0.752336853
72	1	0.0160274	0.815973014	0.81597622
72	2	0.100053317	0.13454406	0.134700072
72	3	-0.046498647	0.515122426	0.515160362
72	4	-0.031135521	0.653691594	0.653681822
73	1	0.067209501	0.32666942	0.326883097
73	2	0.048079698	0.481491387	0.481560753
73	3	0.035951028	0.605532267	0.605548288
73	4	-0.021724034	0.747950316	0.747961329
74	1	-0.036143815	0.608543031	0.60855481
74	2	-0.038606333	0.568609424	0.568645748
74	3	-0.002537611	0.971165717	0.971122659
74	4	-0.058720512	0.395368111	0.395464189
75	1	-0.017920532	0.790523556	0.790523711
75	2	-0.010160404	0.880121759	0.880121143
75	3	0.060071525	0.38300084	0.383057221
75	4	0.023073392	0.737621838	0.7376232
76	1	-0.066605489	0.325990618	0.326061813
76	2	-0.005622121	0.936408879	0.936409533
76	3	0.119430074	0.083231318	0.083360907
76	4	0.017933644	0.795555724	0.795555054
77	1	-0.010748069	0.873889537	0.873884146
77	2	-0.066557369	0.33588293	0.336003109
77	3	0.06800018	0.326220732	0.326371781
77	4	-0.015052675	0.824657959	0.824651047
78	1	-0.01134441	0.869874561	0.869886516
78	2	-0.059633357	0.388272773	0.388319486
78	3	0.085929297	0.214834481	0.2150283
78	4	-0.006058151	0.931198361	0.931198773
79	1	-0.022580304	0.747829521	0.747833467
79	2	-0.066675763	0.341960255	0.342057907
79	3	0.075473511	0.28009068	0.280265539
79	4	-0.085333229	0.220898468	0.221085895
80	1	0.044157136	0.532091487	0.532108046
80	2	0.00409772	0.953634719	0.953634496
80	3	0.038116974	0.594139063	0.594158081
80	4	-0.037189354	0.589025028	0.589063653
81	1	-0.068842602	0.330473192	0.330577985
81	2	-0.027526668	0.693206609	0.693222721
81	3	-0.011326488	0.872941036	0.872941781
81	4	-0.07539332	0.290246763	0.290397797
82	1	-0.028178503	0.691591206	0.691610511
82	2	0.01896488	0.785160436	0.785224799
82	3	0.015409219	0.827095988	0.827077864
82	4	-0.110801182	0.120162886	0.120400756
83	1	-0.027923828	0.700203783	0.700218667
83	2	0.020795528	0.768239556	0.768244182
83	3	0.053036073	0.453372297	0.453440541
83	4	-0.098417657	0.185762846	0.185946124
84	1	-0.070797562	0.319197964	0.319247385
84	2	0.052920239	0.444192595	0.444351584
84	3	-0.02703779	0.698045332	0.698065339
84	4	-0.024945088	0.727362431	0.727363759
85	1	0.034588579	0.62729204	0.627300786
85	2	0.024311012	0.72756922	0.72758271
85	3	0.10531552	0.138134242	0.138299572
85	4	-0.024826099	0.727111258	0.727120501
86	1	0.074415637	0.300418808	0.300549911
86	2	0.010638301	0.87864386	0.878648203
86	3	0.049089499	0.478186485	0.478173671
86	4	-0.056792129	0.434533824	0.434533983
87	1	-0.054374376	0.453696319	0.453715166
87	2	0.037539527	0.595724066	0.595716752
87	3	0.05996955	0.391783513	0.391825364
87	4	-0.022106534	0.770927414	0.770931708
88	1	-0.033450653	0.645268514	0.645276037
88	2	0.01637738	0.817470714	0.817479448
88	3	0.015089959	0.832096774	0.832101887
88	4	-0.05632505	0.466462667	0.466561626
89	1	-0.095591619	0.182637232	0.182723512
89	2	0.041444513	0.560196277	0.560218118
89	3	0.127568481	0.067649713	0.06781439
