generation	transect	bl	bh	b	N	nsig	p
59	1	-1.077355569	1.126718581	0.126702169	100	5	0.05
59	2	-1.275693009	0.893708985	-0.04948881	100	3	0.03
59	3	-0.625268601	0.954034182	0.078678612	100	0	0
59	4	-1.135016309	0.947218204	-0.127061937	100	5	0.05
60	1	-1.241177347	1.066747609	0.09198178	100	9	0.09
60	2	-1.085936759	1.177339577	-0.001624711	100	3	0.03
60	3	-0.795867558	1.22272619	0.026748099	100	7	0.07
60	4	-1.014640288	1.187699263	-0.037411271	100	6	0.06
61	1	-0.98127121	0.986414162	0.042191735	100	4	0.04
61	2	-0.957719671	1.003833918	-0.075384407	100	3	0.03
61	3	-1.076283408	1.351238844	0.14731896	100	4	0.04
61	4	-1.239172571	1.188202002	0.132543002	100	7	0.07
62	1	-0.908500068	1.031122448	-0.091255712	100	2	0.02
62	2	-1.200705549	1.122291267	-0.005720753	100	5	0.05
62	3	-1.046516456	1.11957113	0.014263306	100	6	0.06
62	4	-1.296151858	1.009339915	-0.053986218	100	5	0.05
63	1	-1.339542118	1.121119227	-0.002593298	100	7	0.07
63	2	-1.154160508	1.072793388	0.13902408	100	4	0.04
63	3	-0.930608475	0.956063495	0.007398687	100	5	0.05
63	4	-1.139636638	1.044247286	-0.02194615	100	3	0.03
64	1	-1.025059547	1.075103596	-0.027753818	100	4	0.04
64	2	-0.799948763	1.029446392	-0.121624229	100	3	0.03
64	3	-0.968219466	0.95628651	-0.056402847	100	1	0.01
64	4	-0.975694368	0.752694295	-0.03739155	100	3	0.03
65	1	-0.84958134	1.033345669	-0.071244848	100	6	0.06
65	2	-1.053320035	1.131426463	0.064353974	100	5	0.05
65	3	-0.929076265	1.056518055	0.018073674	100	2	0.02
65	4	-0.871291021	1.050520071	-0.00982985	100	5	0.05
66	1	-0.872961696	1.312560788	0.028829091	100	6	0.06
66	2	-1.027064332	0.996520493	0.071108809	100	5	0.05
66	3	-1.073132801	1.130865133	-0.055001275	100	5	0.05
66	4	-1.031087159	1.166302545	0.094029516	100	4	0.04
67	1	-0.961856937	1.270726685	-0.009056258	100	4	0.04
67	2	-1.199037305	0.988690784	0.013859041	100	6	0.06
67	3	-1.012767653	1.440370582	-0.015813938	100	3	0.03
67	4	-1.113757539	0.923838664	0.022341546	100	6	0.06
68	1	-0.915210837	1.102812539	0.128006071	100	4	0.04
68	2	-0.80413421	1.346271498	-0.06588442	100	5	0.05
68	3	-1.02619203	0.993224843	-0.026202937	100	4	0.04
68	4	-0.943140387	0.8706726	-0.05487412	100	3	0.03
69	1	-1.134719097	1.035510019	0.116305493	100	4	0.04
69	2	-1.069317373	0.77471356	-0.016994968	100	1	0.01
69	3	-0.786065872	1.364870459	0.070022816	100	3	0.03
69	4	-1.616179983	0.931894805	0.005162954	100	4	0.04
70	1	-0.806460541	1.371146136	0.075462048	100	4	0.04
70	2	-0.894818407	1.191581087	0.05220281	100	3	0.03
70	3	-1.316151888	1.035205552	-0.005926041	100	7	0.07
70	4	-1.028425331	1.164009295	0.017307467	100	3	0.03
71	1	-0.947571707	1.172985244	0.045015536	100	2	0.02
71	2	-1.02753008	0.9250692	0.044158998	100	3	0.03
71	3	-1.039869764	1.138447263	0.041128077	100	6	0.06
71	4	-1.021914767	0.85955042	-0.049253222	100	3	0.03
72	1	-1.177380177	1.268785461	0.117300397	100	5	0.05
72	2	-1.033042102	1.007444176	0.013307253	100	4	0.04
72	3	-1.216684314	1.075010279	0.039535303	100	6	0.06
72	4	-1.264619717	1.190579436	-0.042902194	100	6	0.06
73	1	-0.972064559	0.979282557	-0.016456828	100	6	0.06
73	2	-1.001913349	1.016249319	-0.053506905	100	3	0.03
73	3	-0.710340886	0.842605473	0.087631329	100	4	0.04
73	4	-0.9752868	1.035370546	-0.013875173	100	4	0.04
74	1	-0.964722646	1.14252916	0.051750303	100	4	0.04
74	2	-1.021801552	0.899193703	-0.032999392	100	7	0.07
74	3	-0.97899377	0.865084687	0.050914001	100	3	0.03
74	4	-0.892394183	0.803341553	0.051564652	100	1	0.01
75	1	-1.039364934	1.172086164	0.06105594	100	4	0.04
75	2	-1.108274064	1.009155465	-0.014215151	100	3	0.03
75	3	-0.825689255	0.987985723	0.082321843	100	3	0.03
75	4	-0.961954741	0.833004139	-0.03562498	100	3	0.03
76	1	-0.88252139	1.259017549	0.07982401	100	4	0.04
76	2	-1.259651967	1.045330513	-0.034965951	100	4	0.04
76	3	-0.833605673	1.035547476	-0.01116674	100	3	0.03
76	4	-1.125537971	1.270405682	-0.066618334	100	3	0.03
77	1	-0.815778285	1.088365667	0.003846076	100	5	0.05
77	2	-1.397556867	0.938502759	-0.124286042	100	6	0.06
77	3	-1.001810316	1.130477414	-0.012400868	100	8	0.08
77	4	-0.833372668	0.950628607	0.065396218	100	1	0.01
78	1	-1.409627848	0.966216053	-0.00764348	100	1	0.01
78	2	-1.192244889	1.008478776	-0.064944903	100	5	0.05
78	3	-1.01824894	1.119756146	-0.003141605	100	4	0.04
78	4	-1.211582994	1.5207593	-0.036248123	100	6	0.06
79	1	-1.00234029	1.130317122	-0.034163848	100	4	0.04
79	2	-0.921497353	0.919790246	0.022682552	100	5	0.05
79	3	-1.191819422	1.185386224	0.026889706	100	8	0.08
79	4	-1.244495574	0.912771267	-0.020415993	100	7	0.07
80	1	-0.896661656	1.019906835	0.033572976	100	3	0.03
80	2	-0.968410118	1.241838053	-0.061196347	100	9	0.09
80	3	-1.216863284	1.237711918	0.071436462	100	4	0.04
80	4	-1.189616271	1.138305174	-0.005469674	100	11	0.11
81	1	-0.950669681	1.216206305	0.059402215	100	3	0.03
81	2	-0.990317488	0.906215491	0.038789451	100	6	0.06
81	3	-1.283103206	1.151221192	-0.001885061	100	3	0.03
81	4	-1.050260439	1.095422553	0.049024718	100	2	0.02
82	1	-1.146541828	0.839863631	0.068599533	100	3	0.03
82	2	-1.019051649	1.101946875	0.031322962	100	7	0.07
82	3	-1.008359217	1.114492073	0.059717777	100	10	0.1
82	4	-0.961648989	1.017414284	-0.066696419	100	6	0.06
83	1	-1.051069432	0.817203139	-0.042480425	100	8	0.08
83	2	-0.905629923	0.947500049	0.05177686	100	3	0.03
83	3	-0.8805623	1.369041986	0.098907308	100	2	0.02
83	4	-1.162802131	1.139755764	0.051538594	100	9	0.09
84	1	-0.885276605	0.849104234	-0.09543747	100	3	0.03
84	2	-0.839750582	1.486352017	0.102407921	100	4	0.04
84	3	-1.286625847	0.934130031	-4.54E-04	100	5	0.05
84	4	-0.833483417	0.990473204	0.034186645	100	7	0.07
85	1	-1.382651448	1.570333506	-0.049977979	100	8	0.08
85	2	-0.964229865	0.8360008	0.078816084	100	6	0.06
85	3	-0.928355515	0.969893749	0.019446417	100	4	0.04
85	4	-0.711692253	0.826548097	0.011214382	100	2	0.02
86	1	-1.401834956	0.854664163	-0.07460055	100	9	0.09
86	2	-0.845293607	0.924741049	0.096254921	100	4	0.04
86	3	-0.997581037	0.892968749	-0.029267791	100	3	0.03
86	4	-1.004459241	0.709542037	-0.020752456	100	5	0.05
87	1	-0.850350007	0.714456883	0.036341795	100	0	0
87	2	-0.964618615	0.999519944	0.086090589	100	4	0.04
87	3	-0.785874563	1.157250183	-0.026065307	100	3	0.03
87	4	-1.355022876	1.110362072	-0.142169179	100	3	0.03
88	1	-0.726830781	1.027079687	0.023286337	100	5	0.05
88	2	-0.967821098	0.85345026	-0.052796315	100	3	0.03
88	3	-0.747729065	1.127622168	-0.052922679	100	5	0.05
88	4	-0.985498216	1.20181141	-0.101682071	100	4	0.04
89	1	-0.825465244	1.073712363	-0.100625518	100	7	0.07
89	2	-1.31332248	1.078335411	0.029747541	100	12	0.12
89	3	-0.963051761	0.954737789	0.031993193	100	4	0.04
89	4	-1.212708241	0.882606938	-0.088349156	100	4	0.04
90	1	-1.299774037	1.089714397	-0.012501076	100	8	0.08
90	2	-0.893247888	0.939658452	0.07300176	100	4	0.04
90	3	-1.018350147	1.494248368	-0.008966565	100	13	0.13
90	4	-0.898830087	0.877177337	-0.021125508	100	6	0.06
91	1	-1.024979889	0.853603471	0.045217282	100	4	0.04
91	2	-0.852250915	1.089186483	0.086155677	100	6	0.06
91	3	-0.838431535	1.234594003	0.128377872	100	5	0.05
91	4	-0.820942323	1.053527122	0.05017681	100	5	0.05
92	1	-0.930186668	0.832851818	0.054653641	100	2	0.02
92	2	-0.996341932	1.135678347	0.068901142	100	3	0.03
92	3	-0.940631843	0.94809785	-0.096111665	100	6	0.06
92	4	-1.113630147	1.038347629	0.00353807	100	5	0.05
93	1	-1.011618242	0.98376411	0.115708923	100	9	0.09
93	2	-1.023679045	0.835235776	0.040649825	100	7	0.07
93	3	-1.104425163	1.253016494	0.017124778	100	5	0.05
93	4	-1.274578975	1.139313306	0.052219306	100	10	0.1
94	1	-1.010990703	1.11279523	0.017398802	100	6	0.06
94	2	-1.259771851	1.039893621	-0.006680581	100	9	0.09
94	3	-0.850227128	1.303744348	-0.035095671	100	7	0.07
94	4	-0.933427774	1.170436029	-0.083922548	100	6	0.06
95	1	-1.056761682	1.151716939	0.106616385	100	6	0.06
95	2	-1.0833585	1.216849012	-0.039256325	100	8	0.08
95	3	-0.912743398	0.997142548	0.049156096	100	3	0.03
95	4	-0.893656578	1.317102011	0.007374387	100	8	0.08
96	1	-1.065693222	1.25761219	0.032212671	100	12	0.12
96	2	-1.049216065	0.822318272	-0.019788231	100	6	0.06
96	3	-1.123302265	1.161182638	-0.041306502	100	7	0.07
96	4	-0.831009303	1.066376847	-0.036342258	100	5	0.05
97	1	-0.906192131	0.840708674	-0.012503327	100	8	0.08
97	2	-1.151619069	0.873239865	-0.131328246	100	11	0.11
97	3	-1.152364322	1.35941746	-0.11771807	100	12	0.12
97	4	-1.043049752	1.080868357	-0.009971912	100	2	0.02
98	1	-1.067934682	1.159871319	0.01699602	100	3	0.03
98	2	-0.882628279	0.818140822	-0.009933152	100	4	0.04
98	3	-1.110963014	1.223483624	-0.023523661	100	4	0.04
98	4	-1.163419483	1.279738913	0.049124901	100	6	0.06
99	1	-0.989726955	0.98929034	-0.041651713	100	1	0.01
99	2	-0.933977376	0.716403924	-0.139457249	100	5	0.05
99	3	-1.117782839	1.201299629	-0.068676444	100	10	0.1
99	4	-1.233381108	0.84938237	-0.079929669	100	5	0.05
100	1	-0.812307793	1.11494592	0.106847319	100	7	0.07
100	2	-1.048812323	0.806766352	-0.091003026	100	5	0.05
100	3	-1.182212972	1.115712661	-0.054357728	100	6	0.06
100	4	-0.959703012	1.032136533	-0.022943963	100	7	0.07
101	1	-1.088768935	1.030938744	0.010746207	100	6	0.06
101	2	-1.046464685	0.963023473	0.023627884	100	8	0.08
101	3	-1.010909335	0.909278319	-0.054389379	100	9	0.09
101	4	-1.073976328	0.86736889	-0.010051855	100	5	0.05
102	1	-1.101274707	0.803229252	0.019354725	100	6	0.06
102	2	-0.97069907	1.048170559	-0.121765707	100	5	0.05
102	3	-0.795062721	1.417472166	-0.001850788	100	9	0.09
102	4	-1.493843118	1.044944826	0.06924806	100	4	0.04
103	1	-1.113678336	1.249035428	-0.056290247	100	5	0.05
103	2	-0.999460207	1.137250588	-0.088501565	100	6	0.06
103	3	-1.019031703	1.093450305	-0.023813437	100	3	0.03
103	4	-1.006517692	1.252684831	0.040326601	100	8	0.08
104	1	-1.094478989	1.105848147	0.009229668	100	8	0.08
104	2	-1.125137762	0.996350102	-0.004193554	100	7	0.07
104	3	-0.864289023	1.137166306	-0.105993421	100	7	0.07
104	4	-0.82938496	1.296146061	0.002111709	100	7	0.07
105	1	-1.177614127	0.905064981	-0.056401701	100	6	0.06
105	2	-0.772865469	1.068341476	0.036855538	100	5	0.05
105	3	-1.089022811	0.715039031	-0.056674655	100	7	0.07
105	4	-1.016052757	1.231233304	0.017288501	100	3	0.03
106	1	-0.974339431	0.985594551	-0.061493611	100	5	0.05
106	2	-0.957408698	1.557233776	0.018488344	100	9	0.09
106	3	-0.969009979	0.989169563	0.021310928	100	6	0.06
106	4	-0.876297385	1.324296875	0.09422807	100	5	0.05
107	1	-1.338898519	0.975309214	-0.118594112	100	6	0.06
107	2	-0.913640039	0.909650871	-0.040967356	100	5	0.05
107	3	-0.864059814	0.8729859	0.10416273	100	9	0.09
107	4	-0.798534377	1.128676578	0.114409374	100	5	0.05
108	1	-1.339203674	0.888702721	-0.099865312	100	7	0.07
108	2	-1.101494549	0.928053921	0.042795946	100	6	0.06
108	3	-1.128758888	1.547588106	0.032781854	100	11	0.11
108	4	-0.795882481	1.076754093	0.038692117	100	6	0.06
109	1	-0.997327481	1.099714958	-0.102347486	100	6	0.06
109	2	-0.991856175	0.881368867	0.049762228	100	4	0.04
109	3	-1.189865709	1.154122617	-0.009088972	100	8	0.08
109	4	-1.422337219	0.750448454	0.094660924	100	5	0.05
110	1	-1.11391857	1.183397609	-0.080325194	100	5	0.05
110	2	-1.307823033	0.918969167	-0.011122916	100	8	0.08
110	3	-1.006770215	1.272420025	-0.042557198	100	6	0.06
110	4	-0.841423507	0.866663956	0.038451101	100	4	0.04
111	1	-0.809972354	0.862425185	0.019944399	100	2	0.02
111	2	-1.142839677	1.174909189	0.032215489	100	5	0.05
