generation	transect	bl	bh	b	N	nsig	p
45	3	-1.125297217	0.908061502	-0.049866231	100	3	0.03
45	4	-0.958963391	1.005489819	-0.035745251	100	5	0.05
46	1	-1.139719391	0.849465614	0.029554355	100	2	0.02
46	2	-1.091111622	0.91509017	-0.048202679	100	4	0.04
46	3	-1.118371047	0.936469651	-0.00324904	100	1	0.01
46	4	-0.865653107	0.850682641	-0.024059862	100	0	0
47	1	-0.964389988	0.845104444	0.048675617	100	2	0.02
47	2	-0.835189526	1.159570332	-0.002282039	100	4	0.04
47	3	-1.201025477	0.967537068	0.043013781	100	2	0.02
47	4	-0.977584327	1.011947358	-0.020157352	100	5	0.05
48	1	-1.170707756	1.377423109	-0.03524841	100	6	0.06
48	2	-0.786993959	1.02502006	-0.06711443	100	5	0.05
48	3	-1.100586192	1.00231653	0.034591861	100	1	0.01
48	4	-1.092825803	0.875935431	-0.0966242	100	4	0.04
49	1	-1.048256608	0.926647663	-0.036384286	100	3	0.03
49	2	-1.174520757	0.889373576	0.00630587	100	6	0.06
49	3	-1.048614799	1.386385975	-0.074409876	100	6	0.06
49	4	-1.282933477	0.761434496	-0.057758123	100	4	0.04
50	1	-0.766113438	0.832297488	0.104920689	100	1	0.01
50	2	-1.14900477	0.778293281	0.00504344	100	5	0.05
50	3	-0.848989956	0.808149644	0.054519866	100	2	0.02
50	4	-1.107494713	0.798737131	0.034123505	100	3	0.03
51	1	-0.706880117	1.206282449	0.089769257	100	2	0.02
51	2	-1.374494551	0.794087866	-0.049570665	100	2	0.02
51	3	-1.111285149	1.017130946	-0.055050829	100	7	0.07
51	4	-1.066604795	1.180236472	0.10726611	100	2	0.02
52	1	-1.189209591	1.033260499	0.040983091	100	4	0.04
52	2	-0.961384992	1.042847219	0.08091243	100	3	0.03
52	3	-1.032089284	1.044997628	-0.08466554	100	3	0.03
52	4	-0.868771794	1.000256109	-0.059296633	100	5	0.05
53	1	-0.696669976	0.901887414	-0.086964747	100	1	0.01
53	2	-0.987152709	0.974133102	0.008178936	100	6	0.06
53	3	-1.124480739	0.700120729	-0.021230466	100	3	0.03
53	4	-0.984733581	1.333115567	0.049389752	100	4	0.04
54	1	-0.811482901	1.112956182	0.006587599	100	4	0.04
54	2	-0.974462156	0.923915979	0.032115956	100	4	0.04
54	3	-1.026138638	1.012114294	0.111282969	100	3	0.03
54	4	-1.041521434	0.976091585	0.030470809	100	2	0.02
55	1	-0.934641092	0.927236047	-0.056267834	100	5	0.05
55	2	-0.918744137	1.075558128	0.035212435	100	4	0.04
55	3	-0.933086635	1.282602392	-0.032497562	100	3	0.03
55	4	-1.2554923	0.973324685	-0.061349234	100	8	0.08
56	1	-0.896397334	1.127714333	0.085481647	100	5	0.05
56	2	-0.84366118	0.857880655	-0.167373995	100	1	0.01
56	3	-0.934263534	0.941606974	0.046061196	100	3	0.03
56	4	-0.947049365	0.935156075	-0.001502035	100	5	0.05
57	1	-0.839065774	0.969567685	0.090995282	100	4	0.04
57	2	-1.048873859	0.899400133	0.107475252	100	5	0.05
57	3	-0.904452884	0.905487701	0.015827033	100	1	0.01
